Array size,Fill function,Pivot function,Time elapsed[s]
10000,Random,Random,0.014
10000,Only 0 to 100 values,Random,0.005
10000,Non-decreasing,Random,0.015
20000,Random,Random,0.03
20000,Only 0 to 100 values,Random,0.01
20000,Non-decreasing,Random,0.03
30000,Random,Random,0.048
30000,Only 0 to 100 values,Random,0.014
30000,Non-decreasing,Random,0.048
40000,Random,Random,0.064
40000,Only 0 to 100 values,Random,0.02
40000,Non-decreasing,Random,0.066
50000,Random,Random,0.078
50000,Only 0 to 100 values,Random,0.025
50000,Non-decreasing,Random,0.087
60000,Random,Random,0.102
60000,Only 0 to 100 values,Random,0.026
60000,Non-decreasing,Random,0.099
70000,Random,Random,0.118
70000,Only 0 to 100 values,Random,0.032
70000,Non-decreasing,Random,0.119
80000,Random,Random,0.133
80000,Only 0 to 100 values,Random,0.034
80000,Non-decreasing,Random,0.139
90000,Random,Random,0.153
90000,Only 0 to 100 values,Random,0.044
90000,Non-decreasing,Random,0.156
100000,Random,Random,0.177
100000,Only 0 to 100 values,Random,0.042
100000,Non-decreasing,Random,0.173
110000,Random,Random,0.184
110000,Only 0 to 100 values,Random,0.056
110000,Non-decreasing,Random,0.196
120000,Random,Random,0.202
120000,Only 0 to 100 values,Random,0.051
120000,Non-decreasing,Random,0.217
130000,Random,Random,0.226
130000,Only 0 to 100 values,Random,0.055
130000,Non-decreasing,Random,0.235
140000,Random,Random,0.25
140000,Only 0 to 100 values,Random,0.06
140000,Non-decreasing,Random,0.251
150000,Random,Random,0.257
150000,Only 0 to 100 values,Random,0.075
150000,Non-decreasing,Random,0.275
160000,Random,Random,0.276
160000,Only 0 to 100 values,Random,0.082
160000,Non-decreasing,Random,0.286
170000,Random,Random,0.303
170000,Only 0 to 100 values,Random,0.083
170000,Non-decreasing,Random,0.319
180000,Random,Random,0.314
180000,Only 0 to 100 values,Random,0.082
180000,Non-decreasing,Random,0.333
190000,Random,Random,0.34
190000,Only 0 to 100 values,Random,0.086
190000,Non-decreasing,Random,0.357
200000,Random,Random,0.369
200000,Only 0 to 100 values,Random,0.112
200000,Non-decreasing,Random,0.36
210000,Random,Random,0.36
210000,Only 0 to 100 values,Random,0.108
210000,Non-decreasing,Random,0.384
220000,Random,Random,0.4
220000,Only 0 to 100 values,Random,0.096
220000,Non-decreasing,Random,0.407
230000,Random,Random,0.405
230000,Only 0 to 100 values,Random,0.098
230000,Non-decreasing,Random,0.455
240000,Random,Random,0.446
240000,Only 0 to 100 values,Random,0.12
240000,Non-decreasing,Random,0.466
250000,Random,Random,0.458
250000,Only 0 to 100 values,Random,0.109
250000,Non-decreasing,Random,0.469
260000,Random,Random,0.476
260000,Only 0 to 100 values,Random,0.116
260000,Non-decreasing,Random,0.485
270000,Random,Random,0.488
270000,Only 0 to 100 values,Random,0.12
270000,Non-decreasing,Random,0.501
280000,Random,Random,0.501
280000,Only 0 to 100 values,Random,0.13
280000,Non-decreasing,Random,0.519
290000,Random,Random,0.521
290000,Only 0 to 100 values,Random,0.14
290000,Non-decreasing,Random,0.547
300000,Random,Random,0.546
300000,Only 0 to 100 values,Random,0.137
300000,Non-decreasing,Random,0.571
310000,Random,Random,0.552
310000,Only 0 to 100 values,Random,0.14
