Array size;Fill function;Pivot function;Time elapsed[s]
1000;Random;Random;0.001
1000;Only 0 to 100 values;Random;0.001
1000;Non-decreasing;Random;0.001
2000;Random;Random;0.002
2000;Only 0 to 100 values;Random;0.002
2000;Non-decreasing;Random;0.002
3000;Random;Random;0.003
3000;Only 0 to 100 values;Random;0.003
3000;Non-decreasing;Random;0.002
4000;Random;Random;0.003
4000;Only 0 to 100 values;Random;0.003
4000;Non-decreasing;Random;0.003
5000;Random;Random;0.005
5000;Only 0 to 100 values;Random;0.005
5000;Non-decreasing;Random;0.005
6000;Random;Random;0.005
6000;Only 0 to 100 values;Random;0.006
6000;Non-decreasing;Random;0.006
7000;Random;Random;0.007
7000;Only 0 to 100 values;Random;0.007
7000;Non-decreasing;Random;0.006
8000;Random;Random;0.007
8000;Only 0 to 100 values;Random;0.007
8000;Non-decreasing;Random;0.007
9000;Random;Random;0.008
9000;Only 0 to 100 values;Random;0.009
9000;Non-decreasing;Random;0.009
10000;Random;Random;0.010
10000;Only 0 to 100 values;Random;0.009
10000;Non-decreasing;Random;0.009
11000;Random;Random;0.010
11000;Only 0 to 100 values;Random;0.010
11000;Non-decreasing;Random;0.010
12000;Random;Random;0.012
12000;Only 0 to 100 values;Random;0.012
12000;Non-decreasing;Random;0.011
13000;Random;Random;0.012
13000;Only 0 to 100 values;Random;0.013
13000;Non-decreasing;Random;0.012
14000;Random;Random;0.016
14000;Only 0 to 100 values;Random;0.014
14000;Non-decreasing;Random;0.014
15000;Random;Random;0.014
15000;Only 0 to 100 values;Random;0.015
15000;Non-decreasing;Random;0.016
16000;Random;Random;0.016
16000;Only 0 to 100 values;Random;0.016
16000;Non-decreasing;Random;0.014
17000;Random;Random;0.016
17000;Only 0 to 100 values;Random;0.018
17000;Non-decreasing;Random;0.016
18000;Random;Random;0.019
18000;Only 0 to 100 values;Random;0.021
18000;Non-decreasing;Random;0.018
19000;Random;Random;0.018
19000;Only 0 to 100 values;Random;0.019
19000;Non-decreasing;Random;0.018
20000;Random;Random;0.020
20000;Only 0 to 100 values;Random;0.021
20000;Non-decreasing;Random;0.020
21000;Random;Random;0.021
21000;Only 0 to 100 values;Random;0.023
21000;Non-decreasing;Random;0.022
22000;Random;Random;0.021
22000;Only 0 to 100 values;Random;0.023
22000;Non-decreasing;Random;0.021
23000;Random;Random;0.023
23000;Only 0 to 100 values;Random;0.024
23000;Non-decreasing;Random;0.024
24000;Random;Random;0.023
24000;Only 0 to 100 values;Random;0.026
24000;Non-decreasing;Random;0.024
25000;Random;Random;0.026
25000;Only 0 to 100 values;Random;0.028
25000;Non-decreasing;Random;0.025
26000;Random;Random;0.028
26000;Only 0 to 100 values;Random;0.030
26000;Non-decreasing;Random;0.025
27000;Random;Random;0.028
27000;Only 0 to 100 values;Random;0.030
27000;Non-decreasing;Random;0.026
28000;Random;Random;0.030
28000;Only 0 to 100 values;Random;0.031
28000;Non-decreasing;Random;0.027
29000;Random;Random;0.029
29000;Only 0 to 100 values;Random;0.035
29000;Non-decreasing;Random;0.030
30000;Random;Random;0.032
30000;Only 0 to 100 values;Random;0.034
30000;Non-decreasing;Random;0.030
31000;Random;Random;0.037
31000;Only 0 to 100 values;Random;0.038
