Array size;Fill function;Pivot function;Time elapsed[s]
10;Random;Random;0.000
10;Only 0 to 100 values;Random;0.000
10;Non-decreasing;Random;0.000
20;Random;Random;0.000
20;Only 0 to 100 values;Random;0.000
20;Non-decreasing;Random;0.000
30;Random;Random;0.000
30;Only 0 to 100 values;Random;0.000
30;Non-decreasing;Random;0.000
40;Random;Random;0.000
40;Only 0 to 100 values;Random;0.000
40;Non-decreasing;Random;0.000
50;Random;Random;0.001
50;Only 0 to 100 values;Random;0.000
50;Non-decreasing;Random;0.000
60;Random;Random;0.000
60;Only 0 to 100 values;Random;0.000
60;Non-decreasing;Random;0.000
70;Random;Random;0.000
70;Only 0 to 100 values;Random;0.000
70;Non-decreasing;Random;0.000
80;Random;Random;0.000
80;Only 0 to 100 values;Random;0.000
80;Non-decreasing;Random;0.000
90;Random;Random;0.000
90;Only 0 to 100 values;Random;0.000
90;Non-decreasing;Random;0.001
100;Random;Random;0.000
100;Only 0 to 100 values;Random;0.000
100;Non-decreasing;Random;0.000
110;Random;Random;0.000
110;Only 0 to 100 values;Random;0.000
110;Non-decreasing;Random;0.000
120;Random;Random;0.000
120;Only 0 to 100 values;Random;0.000
120;Non-decreasing;Random;0.000
130;Random;Random;0.000
130;Only 0 to 100 values;Random;0.000
130;Non-decreasing;Random;0.000
140;Random;Random;0.000
140;Only 0 to 100 values;Random;0.000
140;Non-decreasing;Random;0.000
150;Random;Random;0.000
150;Only 0 to 100 values;Random;0.001
150;Non-decreasing;Random;0.000
160;Random;Random;0.000
160;Only 0 to 100 values;Random;0.000
160;Non-decreasing;Random;0.000
170;Random;Random;0.000
170;Only 0 to 100 values;Random;0.000
170;Non-decreasing;Random;0.001
180;Random;Random;0.000
180;Only 0 to 100 values;Random;0.000
180;Non-decreasing;Random;0.000
190;Random;Random;0.000
190;Only 0 to 100 values;Random;0.000
190;Non-decreasing;Random;0.000
200;Random;Random;0.001
200;Only 0 to 100 values;Random;0.000
200;Non-decreasing;Random;0.000
210;Random;Random;0.000
210;Only 0 to 100 values;Random;0.000
210;Non-decreasing;Random;0.000
220;Random;Random;0.000
220;Only 0 to 100 values;Random;0.000
220;Non-decreasing;Random;0.000
230;Random;Random;0.000
230;Only 0 to 100 values;Random;0.000
230;Non-decreasing;Random;0.001
240;Random;Random;0.000
240;Only 0 to 100 values;Random;0.000
240;Non-decreasing;Random;0.001
250;Random;Random;0.000
250;Only 0 to 100 values;Random;0.000
250;Non-decreasing;Random;0.000
260;Random;Random;0.001
260;Only 0 to 100 values;Random;0.000
260;Non-decreasing;Random;0.001
270;Random;Random;0.000
270;Only 0 to 100 values;Random;0.001
270;Non-decreasing;Random;0.000
280;Random;Random;0.000
280;Only 0 to 100 values;Random;0.000
280;Non-decreasing;Random;0.000
290;Random;Random;0.000
290;Only 0 to 100 values;Random;0.001
290;Non-decreasing;Random;0.000
300;Random;Random;0.000
300;Only 0 to 100 values;Random;0.000
300;Non-decreasing;Random;0.001
310;Random;Random;0.000
310;Only 0 to 100 values;Random;0.000
310;Non-decreasing;Random;0.000
320;Random;Random;0.000
320;Only 0 to 100 values;Random;0.000
320;Non-decreasing;Random;0.000
330;Random;Random;0.000
330;Only 0 to 100 values;Random;0.000
330;Non-decreasing;Random;0.001
340;Random;Random;0.000
340;Only 0 to 100 values;Random;0.001
340;Non-decreasing;Random;0.000
350;Random;Random;0.000
350;Only 0 to 100 values;Random;0.000
350;Non-decreasing;Random;0.000
360;Random;Random;0.000
360;Only 0 to 100 values;Random;0.000
360;Non-decreasing;Random;0.000
370;Random;Random;0.001
370;Only 0 to 100 values;Random;0.000
370;Non-decreasing;Random;0.001
380;Random;Random;0.001
380;Only 0 to 100 values;Random;0.000
380;Non-decreasing;Random;0.001
390;Random;Random;0.000
390;Only 0 to 100 values;Random;0.001
390;Non-decreasing;Random;0.000
400;Random;Random;0.000
400;Only 0 to 100 values;Random;0.001
400;Non-decreasing;Random;0.000
410;Random;Random;0.001
410;Only 0 to 100 values;Random;0.000
410;Non-decreasing;Random;0.000
420;Random;Random;0.000
420;Only 0 to 100 values;Random;0.000
420;Non-decreasing;Random;0.000
430;Random;Random;0.000
430;Only 0 to 100 values;Random;0.000
430;Non-decreasing;Random;0.001
440;Random;Random;0.000
440;Only 0 to 100 values;Random;0.000
440;Non-decreasing;Random;0.001
450;Random;Random;0.000
450;Only 0 to 100 values;Random;0.001
450;Non-decreasing;Random;0.000
460;Random;Random;0.001
460;Only 0 to 100 values;Random;0.000
460;Non-decreasing;Random;0.000
470;Random;Random;0.001
470;Only 0 to 100 values;Random;0.000
470;Non-decreasing;Random;0.000
480;Random;Random;0.001
480;Only 0 to 100 values;Random;0.000
480;Non-decreasing;Random;0.001
490;Random;Random;0.001
490;Only 0 to 100 values;Random;0.000
490;Non-decreasing;Random;0.000
500;Random;Random;0.001
500;Only 0 to 100 values;Random;0.000
500;Non-decreasing;Random;0.000
510;Random;Random;0.001
510;Only 0 to 100 values;Random;0.000
510;Non-decreasing;Random;0.000
520;Random;Random;0.001
520;Only 0 to 100 values;Random;0.000
520;Non-decreasing;Random;0.000
530;Random;Random;0.000
530;Only 0 to 100 values;Random;0.000
530;Non-decreasing;Random;0.001
540;Random;Random;0.000
540;Only 0 to 100 values;Random;0.000
540;Non-decreasing;Random;0.001
550;Random;Random;0.000
550;Only 0 to 100 values;Random;0.000
550;Non-decreasing;Random;0.001
560;Random;Random;0.000
560;Only 0 to 100 values;Random;0.001
560;Non-decreasing;Random;0.001
570;Random;Random;0.000
570;Only 0 to 100 values;Random;0.000
570;Non-decreasing;Random;0.001
580;Random;Random;0.001
580;Only 0 to 100 values;Random;0.001
580;Non-decreasing;Random;0.000
590;Random;Random;0.000
590;Only 0 to 100 values;Random;0.000
590;Non-decreasing;Random;0.001
600;Random;Random;0.000
600;Only 0 to 100 values;Random;0.000
600;Non-decreasing;Random;0.000
610;Random;Random;0.001
610;Only 0 to 100 values;Random;0.001
610;Non-decreasing;Random;0.000
620;Random;Random;0.000
620;Only 0 to 100 values;Random;0.000
620;Non-decreasing;Random;0.000
630;Random;Random;0.000
630;Only 0 to 100 values;Random;0.000
630;Non-decreasing;Random;0.000
640;Random;Random;0.001
640;Only 0 to 100 values;Random;0.001
640;Non-decreasing;Random;0.000
650;Random;Random;0.000
650;Only 0 to 100 values;Random;0.000
650;Non-decreasing;Random;0.001
660;Random;Random;0.000
660;Only 0 to 100 values;Random;0.000
660;Non-decreasing;Random;0.000
670;Random;Random;0.001
670;Only 0 to 100 values;Random;0.001
670;Non-decreasing;Random;0.001
680;Random;Random;0.000
680;Only 0 to 100 values;Random;0.000
680;Non-decreasing;Random;0.000
690;Random;Random;0.000
690;Only 0 to 100 values;Random;0.000
690;Non-decreasing;Random;0.001
700;Random;Random;0.000
700;Only 0 to 100 values;Random;0.000
700;Non-decreasing;Random;0.001
710;Random;Random;0.000
710;Only 0 to 100 values;Random;0.000
710;Non-decreasing;Random;0.001
720;Random;Random;0.000
720;Only 0 to 100 values;Random;0.000
720;Non-decreasing;Random;0.000
730;Random;Random;0.000
730;Only 0 to 100 values;Random;0.001
730;Non-decreasing;Random;0.000
740;Random;Random;0.001
740;Only 0 to 100 values;Random;0.001
740;Non-decreasing;Random;0.001
750;Random;Random;0.001
750;Only 0 to 100 values;Random;0.001
750;Non-decreasing;Random;0.001
760;Random;Random;0.000
760;Only 0 to 100 values;Random;0.000
760;Non-decreasing;Random;0.000
770;Random;Random;0.000
770;Only 0 to 100 values;Random;0.001
770;Non-decreasing;Random;0.001
780;Random;Random;0.000
780;Only 0 to 100 values;Random;0.000
780;Non-decreasing;Random;0.000
790;Random;Random;0.000
790;Only 0 to 100 values;Random;0.000
790;Non-decreasing;Random;0.000
800;Random;Random;0.001
800;Only 0 to 100 values;Random;0.001
800;Non-decreasing;Random;0.001
810;Random;Random;0.001
810;Only 0 to 100 values;Random;0.000
810;Non-decreasing;Random;0.000
820;Random;Random;0.001
820;Only 0 to 100 values;Random;0.001
820;Non-decreasing;Random;0.001
830;Random;Random;0.001
830;Only 0 to 100 values;Random;0.001
830;Non-decreasing;Random;0.001
840;Random;Random;0.000
840;Only 0 to 100 values;Random;0.000
840;Non-decreasing;Random;0.000
850;Random;Random;0.000
850;Only 0 to 100 values;Random;0.001
850;Non-decreasing;Random;0.001
860;Random;Random;0.001
860;Only 0 to 100 values;Random;0.001
860;Non-decreasing;Random;0.001
870;Random;Random;0.001
870;Only 0 to 100 values;Random;0.000
870;Non-decreasing;Random;0.000
880;Random;Random;0.000
880;Only 0 to 100 values;Random;0.001
880;Non-decreasing;Random;0.000
890;Random;Random;0.001
