Array size;Fill function;Pivot function;Time elapsed[s]
10000;Random;Random;0.014
10000;Only 0 to 100 values;Random;0.004
10000;Non-decreasing;Random;0.014
20000;Random;Random;0.030
20000;Only 0 to 100 values;Random;0.008
20000;Non-decreasing;Random;0.030
30000;Random;Random;0.047
30000;Only 0 to 100 values;Random;0.013
30000;Non-decreasing;Random;0.047
40000;Random;Random;0.062
40000;Only 0 to 100 values;Random;0.022
40000;Non-decreasing;Random;0.067
50000;Random;Random;0.082
50000;Only 0 to 100 values;Random;0.025
50000;Non-decreasing;Random;0.084
60000;Random;Random;0.097
60000;Only 0 to 100 values;Random;0.027
60000;Non-decreasing;Random;0.101
70000;Random;Random;0.117
70000;Only 0 to 100 values;Random;0.031
70000;Non-decreasing;Random;0.121
80000;Random;Random;0.139
80000;Only 0 to 100 values;Random;0.035
80000;Non-decreasing;Random;0.134
90000;Random;Random;0.158
90000;Only 0 to 100 values;Random;0.038
90000;Non-decreasing;Random;0.151
100000;Random;Random;0.165
100000;Only 0 to 100 values;Random;0.048
100000;Non-decreasing;Random;0.180
110000;Random;Random;0.188
110000;Only 0 to 100 values;Random;0.047
110000;Non-decreasing;Random;0.189
120000;Random;Random;0.207
120000;Only 0 to 100 values;Random;0.050
120000;Non-decreasing;Random;0.212
130000;Random;Random;0.227
130000;Only 0 to 100 values;Random;0.063
130000;Non-decreasing;Random;0.231
140000;Random;Random;0.249
140000;Only 0 to 100 values;Random;0.064
140000;Non-decreasing;Random;0.253
150000;Random;Random;0.264
150000;Only 0 to 100 values;Random;0.069
150000;Non-decreasing;Random;0.269
160000;Random;Random;0.285
160000;Only 0 to 100 values;Random;0.089
160000;Non-decreasing;Random;0.287
170000;Random;Random;0.337
170000;Only 0 to 100 values;Random;0.072
170000;Non-decreasing;Random;0.309
180000;Random;Random;0.341
180000;Only 0 to 100 values;Random;0.081
180000;Non-decreasing;Random;0.332
190000;Random;Random;0.344
190000;Only 0 to 100 values;Random;0.085
190000;Non-decreasing;Random;0.358
200000;Random;Random;0.352
200000;Only 0 to 100 values;Random;0.093
200000;Non-decreasing;Random;0.356
210000;Random;Random;0.372
210000;Only 0 to 100 values;Random;0.086
210000;Non-decreasing;Random;0.382
220000;Random;Random;0.402
220000;Only 0 to 100 values;Random;0.102
220000;Non-decreasing;Random;0.413
230000;Random;Random;0.407
230000;Only 0 to 100 values;Random;0.100
230000;Non-decreasing;Random;0.437
240000;Random;Random;0.446
240000;Only 0 to 100 values;Random;0.120
240000;Non-decreasing;Random;0.439
250000;Random;Random;0.458
250000;Only 0 to 100 values;Random;0.106
250000;Non-decreasing;Random;0.475
260000;Random;Random;0.475
260000;Only 0 to 100 values;Random;0.116
260000;Non-decreasing;Random;0.492
270000;Random;Random;0.518
270000;Only 0 to 100 values;Random;0.120
270000;Non-decreasing;Random;0.514
280000;Random;Random;0.497
280000;Only 0 to 100 values;Random;0.134
280000;Non-decreasing;Random;0.517
290000;Random;Random;0.547
290000;Only 0 to 100 values;Random;0.138
290000;Non-decreasing;Random;0.553
300000;Random;Random;0.557
300000;Only 0 to 100 values;Random;0.139
300000;Non-decreasing;Random;0.574
310000;Random;Random;0.580
310000;Only 0 to 100 values;Random;0.139
310000;Non-decreasing;Random;0.603
320000;Random;Random;0.604
320000;Only 0 to 100 values;Random;0.139
320000;Non-decreasing;Random;0.607
330000;Random;Random;0.623
330000;Only 0 to 100 values;Random;0.141
330000;Non-decreasing;Random;0.629
340000;Random;Random;0.630
340000;Only 0 to 100 values;Random;0.166
340000;Non-decreasing;Random;0.683
