Array size;Fill function;Pivot function;Time elapsed[s]
10000;Random;End;0.011
10000;Only 0 to 100 values;End;0.004
20000;Random;End;0.025
20000;Only 0 to 100 values;End;0.009
30000;Random;End;0.038
30000;Only 0 to 100 values;End;0.013
40000;Random;End;0.056
40000;Only 0 to 100 values;End;0.018
50000;Random;End;0.070
50000;Only 0 to 100 values;End;0.024
60000;Random;End;0.085
60000;Only 0 to 100 values;End;0.031
70000;Random;End;0.100
70000;Only 0 to 100 values;End;0.029
80000;Random;End;0.120
80000;Only 0 to 100 values;End;0.037
90000;Random;End;0.128
90000;Only 0 to 100 values;End;0.044
100000;Random;End;0.146
100000;Only 0 to 100 values;End;0.044
110000;Random;End;0.166
110000;Only 0 to 100 values;End;0.056
120000;Random;End;0.183
120000;Only 0 to 100 values;End;0.052
130000;Random;End;0.199
130000;Only 0 to 100 values;End;0.058
140000;Random;End;0.212
140000;Only 0 to 100 values;End;0.064
150000;Random;End;0.231
150000;Only 0 to 100 values;End;0.062
160000;Random;End;0.245
160000;Only 0 to 100 values;End;0.072
170000;Random;End;0.264
170000;Only 0 to 100 values;End;0.082
180000;Random;End;0.285
180000;Only 0 to 100 values;End;0.076
190000;Random;End;0.303
190000;Only 0 to 100 values;End;0.079
200000;Random;End;0.317
200000;Only 0 to 100 values;End;0.096
210000;Random;End;0.330
210000;Only 0 to 100 values;End;0.084
220000;Random;End;0.345
220000;Only 0 to 100 values;End;0.099
230000;Random;End;0.381
230000;Only 0 to 100 values;End;0.095
240000;Random;End;0.392
240000;Only 0 to 100 values;End;0.107
250000;Random;End;0.392
250000;Only 0 to 100 values;End;0.097
260000;Random;End;0.423
260000;Only 0 to 100 values;End;0.123
270000;Random;End;0.453
270000;Only 0 to 100 values;End;0.125
280000;Random;End;0.435
280000;Only 0 to 100 values;End;0.119
290000;Random;End;0.479
290000;Only 0 to 100 values;End;0.160
300000;Random;End;0.492
300000;Only 0 to 100 values;End;0.153
310000;Random;End;0.503
310000;Only 0 to 100 values;End;0.134
320000;Random;End;0.523
320000;Only 0 to 100 values;End;0.160
330000;Random;End;0.541
330000;Only 0 to 100 values;End;0.143
340000;Random;End;0.593
340000;Only 0 to 100 values;End;0.142
350000;Random;End;0.587
350000;Only 0 to 100 values;End;0.170
360000;Random;End;0.597
360000;Only 0 to 100 values;End;0.164
370000;Random;End;0.610
370000;Only 0 to 100 values;End;0.160
380000;Random;End;0.640
380000;Only 0 to 100 values;End;0.149
390000;Random;End;0.646
390000;Only 0 to 100 values;End;0.200
400000;Random;End;0.653
400000;Only 0 to 100 values;End;0.154
410000;Random;End;0.696
410000;Only 0 to 100 values;End;0.164
420000;Random;End;0.696
420000;Only 0 to 100 values;End;0.192
430000;Random;End;0.773
430000;Only 0 to 100 values;End;0.168
440000;Random;End;0.756
440000;Only 0 to 100 values;End;0.219
450000;Random;End;0.749
450000;Only 0 to 100 values;End;0.190
460000;Random;End;0.803
460000;Only 0 to 100 values;End;0.207
470000;Random;End;0.779
470000;Only 0 to 100 values;End;0.206
480000;Random;End;0.799
480000;Only 0 to 100 values;End;0.190
490000;Random;End;0.848
490000;Only 0 to 100 values;End;0.220
500000;Random;End;0.886
500000;Only 0 to 100 values;End;0.250
510000;Random;End;0.894
510000;Only 0 to 100 values;End;0.244
520000;Random;End;0.876
520000;Only 0 to 100 values;End;0.244
530000;Random;End;0.897
530000;Only 0 to 100 values;End;0.230
540000;Random;End;0.910
540000;Only 0 to 100 values;End;0.227
550000;Random;End;0.943
550000;Only 0 to 100 values;End;0.245
560000;Random;End;0.972
560000;Only 0 to 100 values;End;0.281
570000;Random;End;0.985
570000;Only 0 to 100 values;End;0.224
580000;Random;End;0.966
580000;Only 0 to 100 values;End;0.278
590000;Random;End;1.011
590000;Only 0 to 100 values;End;0.244
600000;Random;End;1.011
600000;Only 0 to 100 values;End;0.251
610000;Random;End;1.124
610000;Only 0 to 100 values;End;0.286
620000;Random;End;1.073
620000;Only 0 to 100 values;End;0.249
630000;Random;End;1.116
