Element no, p = 1, p = 2, p = 3, p = 4
1,0.985686,0.00992047,9.98449e-05,1.00489e-06,
2,0.985482,0.0100624,0.000102744,1.04909e-06,
3,0.985271,0.0102085,0.000105771,1.09591e-06,
4,0.985054,0.0103588,0.000108933,1.14554e-06,
5,0.98483,0.0105136,0.000112239,1.19821e-06,
6,0.9846,0.0106731,0.000115696,1.25414e-06,
7,0.984363,0.0108374,0.000119315,1.3136e-06,
8,0.984119,0.0110068,0.000123105,1.37686e-06,
9,0.983866,0.0111816,0.000127078,1.44423e-06,
10,0.983606,0.0113619,0.000131245,1.51604e-06,
11,0.983337,0.0115481,0.000135619,1.59268e-06,
12,0.98306,0.0117405,0.000140214,1.67455e-06,
13,0.982773,0.0119393,0.000145046,1.76211e-06,
14,0.982476,0.0121449,0.00015013,1.85585e-06,
15,0.982169,0.0123577,0.000155485,1.95632e-06,
16,0.981851,0.012578,0.00016113,2.06415e-06,
17,0.981522,0.0128062,0.000167085,2.18001e-06,
18,0.98118,0.0130427,0.000173376,2.30466e-06,
19,0.980826,0.0132881,0.000180025,2.43896e-06,
20,0.980458,0.0135428,0.000187062,2.58384e-06,
21,0.980077,0.0138073,0.000194518,2.74037e-06,
22,0.97968,0.0140823,0.000202424,2.90973e-06,
23,0.979267,0.0143683,0.00021082,3.09326e-06,
24,0.978837,0.0146661,0.000219745,3.29248e-06,
25,0.978389,0.0149763,0.000229245,3.50908e-06,
26,0.977922,0.0152998,0.00023937,3.745e-06,
27,0.977435,0.0156374,0.000250175,4.00241e-06,
28,0.976925,0.0159901,0.000261723,4.28383e-06,
29,0.976393,0.0163589,0.000274083,4.5921e-06,
30,0.975836,0.0167448,0.000287333,4.93048e-06,
31,0.975252,0.0171492,0.000301559,5.30273e-06,
32,0.974639,0.0175734,0.000316859,5.71316e-06,
33,0.973996,0.0180187,0.000333343,6.16677e-06,
34,0.97332,0.0184869,0.000351135,6.66936e-06,
35,0.972608,0.0189798,0.000370378,7.22768e-06,
36,0.971858,0.0194993,0.000391232,7.84964e-06,
37,0.971066,0.0200476,0.00041388,8.54451e-06,
38,0.970229,0.0206271,0.000438533,9.32322e-06,
39,0.969343,0.0212406,0.000465432,1.01987e-05,
40,0.968403,0.0218911,0.000494858,1.11865e-05,
41,0.967405,0.0225821,0.000527133,1.23049e-05,
42,0.966342,0.0233173,0.000562635,1.35761e-05,
43,0.96521,0.0241012,0.000601804,1.5027e-05,
44,0.963999,0.0249386,0.00064516,1.66902e-05,
45,0.962703,0.0258352,0.000693313,1.86058e-05,
46,0.961312,0.0267973,0.000746993,2.0823e-05,
47,0.959816,0.0278323,0.000807069,2.3403e-05,
48,0.958201,0.0289488,0.000874589,2.64227e-05,
49,0.956454,0.0301565,0.000950819,2.99789e-05,
50,0.954558,0.031467,0.00103731,3.41949e-05,
51,0.952493,0.0328937,0.00113596,3.92296e-05,
52,0.950236,0.0344525,0.00124913,4.52895e-05,
53,0.94776,0.0361622,0.00137979,5.26465e-05,
54,0.945031,0.0380456,0.00153166,6.16626e-05,
55,0.94201,0.0401299,0.00170954,7.2827e-05,
56,0.938647,0.0424482,0.00191962,8.68105e-05,
57,0.934883,0.0450414,0.00217003,0.000104549,
58,0.930643,0.0479601,0.00247159,0.000127372,
59,0.925833,0.051268,0.00283896,0.000157207,
60,0.920332,0.0550459,0.00329235,0.000196919,
61,0.913984,0.0593984,0.00386022,0.00025087,
62,0.906583,0.0644623,0.00458357,0.000325913,
63,0.897853,0.07042,0.00552314,0.000433188,
64,0.887413,0.0775195,0.00677168,0.000591537,
65,0.874727,0.0861058,0.00847602,0.000834356,
66,0.859018,0.0966695,0.0108787,0.00122423,
67,0.839124,0.109929,0.0144011,0.00188661,
68,0.813244,0.126964,0.0198216,0.00309455,
69,0.778489,0.149448,0.0286898,0.00550764,
70,0.730077,0.180034,0.0443956,0.0109478,
71,0.660025,0.222934,0.0752998,0.0254337,
72,0.55574,0.284399,0.145541,0.07448,
73,0.402735,0.370855,0.341498,0.314465,
74,0.2084,0.476499,1.0895,2.4911,
75,0.0510243,0.559815,6.14202,67.3874,
76,0.00272103,0.58509,125.809,27052.2,
77,7.42192e-06,0.586507,46348,3.66259e+09,
78,0,0,0,0,
79,inf,inf,inf,inf,
