Metoda,Poczatkowe x,Epsilon,Liczba iteracji,Wynik,Blad bezwzgledny,Blad wzgledny
wielopunktowa,10.000,1.00e-03,6,1.7100040574285140,0.0000040574285141,0.0000023727595829
Newtona,10.000,1.00e-03,10,1.7100194228099124,0.0000194228099124,0.0000113582393588
wielopunktowa,100.000,1.00e-03,8,1.7100198969471176,0.0000198969471177,0.0000116355062027
Newtona,100.000,1.00e-03,16,1.7100133332419671,0.0000133332419672,0.0000077971567285
wielopunktowa,1000.000,1.00e-03,11,1.7100030586715611,0.0000030586715611,0.0000017886936199
Newtona,1000.000,1.00e-03,22,1.7100049325822944,0.0000049325822944,0.0000028845427287
wielopunktowa,10000.000,1.00e-03,13,1.7100110493694891,0.0000110493694891,0.0000064615778320
Newtona,10000.000,1.00e-03,28,1.7100017227727722,0.0000017227727722,0.0000010074684424
wielopunktowa,100000.000,1.00e-03,16,1.7100016351717564,0.0000016351717564,0.0000009562398788
Newtona,100000.000,1.00e-03,33,1.7100161325479610,0.0000161325479611,0.0000094341495697
wielopunktowa,1000000.000,1.00e-03,18,1.7100061643517679,0.0000061643517679,0.0000036048710797
Newtona,1000000.000,1.00e-03,39,1.7100056029782884,0.0000056029782884,0.0000032765847543
wielopunktowa,10000000.000,1.00e-03,20,1.7100230998467967,0.0000230998467967,0.0000135084998552
Newtona,10000000.000,1.00e-03,45,1.7100019454253033,0.0000019454253033,0.0000011376743217
wielopunktowa,100000000.000,1.00e-03,23,1.7100034274574347,0.0000034274574348,0.0000020043570555
Newtona,100000000.000,1.00e-03,50,1.7100182046956518,0.0000182046956518,0.0000106459075125
wielopunktowa,1000000000.000,1.00e-03,25,1.7100123383571488,0.0000123383571489,0.0000072153614755
Newtona,1000000000.000,1.00e-03,56,1.7100063206047205,0.0000063206047205,0.0000036962464082
wielopunktowa,10000000000.000,1.00e-03,28,1.7100018393940215,0.0000018393940215,0.0000010756678614
Newtona,10000000000.000,1.00e-03,62,1.7100021952276032,0.0000021952276033,0.0000012837571843
