Metoda,Poczatkowe x,Epsilon,Liczba iteracji,Wynik,Blad bezwzgledny,Blad wzgledny
wielopunktowa,10.000,1.00e-03,6,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,10.000,1.00e-03,12,0.6411857649428676,0.0000000204378817,0.0000000318751333
wielopunktowa,20.000,1.00e-03,9,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,20.000,1.00e-03,20,0.6411857445585455,0.0000000000535596,0.0000000000835321
wielopunktowa,30.000,1.00e-03,12,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,30.000,1.00e-03,27,0.6411857516152724,0.0000000071102865,0.0000000110892771
wielopunktowa,40.000,1.00e-03,15,0.6411857445049859,0.0000000000000000,0.0000000000000000
Newtona,40.000,1.00e-03,34,0.6411858455206982,0.0000001010157124,0.0000001575451377
wielopunktowa,50.000,1.00e-03,18,0.6411857445049859,0.0000000000000000,0.0000000000000000
Newtona,50.000,1.00e-03,41,0.6411862733232404,0.0000005288182545,0.0000008247498060
wielopunktowa,60.000,1.00e-03,21,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,60.000,1.00e-03,49,0.6411857445065092,0.0000000000015233,0.0000000000023758
wielopunktowa,70.000,1.00e-03,24,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,70.000,1.00e-03,56,0.6411857445122959,0.0000000000073100,0.0000000000114008
wielopunktowa,80.000,1.00e-03,27,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,80.000,1.00e-03,63,0.6411857445276470,0.0000000000226611,0.0000000000353425
wielopunktowa,90.000,1.00e-03,30,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,90.000,1.00e-03,70,0.6411857445566517,0.0000000000516658,0.0000000000805785
wielopunktowa,100.000,1.00e-03,33,0.6411857445049860,0.0000000000000001,0.0000000000000002
Newtona,100.000,1.00e-03,77,0.6411857445989061,0.0000000000939202,0.0000000001464789
